"Function","Inferred responsibility","Evidence","Confidence"
"FUN_0040ae38","Dialog-procedure trampoline for the gate-label edit dialog GATELABELDLG; stores the active diagram/controller pointer, then delegates dialog handling to FUN_00436748, which edits the selected non-input/output gate object's label text.","Main diagram-entry setup calls FUN_0040ae38(NULL, 0x8008, 0, DAT_0046c1a4), and the function stores param_4 in DAT_0046c4e4. On double-click in the diagram editor, non input/output objects use DialogBoxParamA(..., ""GATELABELDLG"", ..., FUN_0040ae38, selectedIndex), while type 8/9 variable nodes use VARNAMEDLG. FUN_00436748 handles WM_INITDIALOG, saves selected object index, limits edit control 0x43e to 0x10 chars, loads current label from selected object offset 0x50, and writes GetDlgItemTextA(..., 0x43e, ..., 0x11) back before EndDialog(1).","High"
"FUN_0040ae7a","Dialog-procedure trampoline for the modeless Trace Gate Logic dialog TRACEDLG16. It binds the active gate-diagram/function object, then delegates dialog behavior to FUN_00436c32, which displays/toggles input values, recomputes traced gate states, and redraws the diagram with trace coloring.","Call sites invoke FUN_0040ae7a(NULL, 0x8008, 0, DAT_0046c1ac), then CreateDialogParamA(..., ""TRACEDLG16"", ..., FUN_0040ae7a, 0). Menu command 0x152 corresponds to Trace Gate Logic; toggling it creates/destroys this dialog and sends diagram commands 0x8013/0x8014. FUN_0040ae7a stores the object pointer in DAT_0046c4e8 on message 0x8008, otherwise calls FUN_00436c32. The delegate initializes up to 16 input controls 0x45d..0x46c, labels them with ""%s = %d"", toggles truth values, recomputes/redraws, invalidates the diagram window, handles Tracing_logic.htm help, and closes through command 0x152.","High"
"FUN_0040aebc","Dialog-procedure trampoline for the IC Package Info dialog; stores the selected function/model pointer, then delegates dialog initialization/close handling to the model-specific handler that displays precomputed IC package counts.","Main command 0x156 opens DialogBoxParamA(..., ""ICPKGINFO"", ..., FUN_0040aebc, 0) after exactly one function is selected. FUN_0040aebc(NULL, 0x8008, 0, DAT_0046c1ac) stores the active model pointer in DAT_0046c4ec; normal messages delegate to FUN_0042424d, which handles WM_INITDIALOG by setting dialog item 0x43e from this + 0x274 and closes on OK/Cancel. FUN_00423a22 fills that buffer with lines such as IC\\tQty, Hex Inverter, Quad 2-Input NAND, Quad 2-Input MUX, and TOTAL PACKAGES from mapped diagram gate counts.","High"
"FUN_0040aefe","Print dialog hook/trampoline for Logic Friday's custom PRINTDLG template; forwards print-dialog messages to the global print-controller object so the dialog can choose between diagram versus equation printing and open page setup.","Body delegates to FUN_0041c581(&DAT_00453ce8, hwnd, msg, commandId). FUN_0041a687 installs it into PRINTDLGA as the print hook, sets template name ""PRINTDLG"", title ""Logic Friday: Printing"", then calls PrintDlgA. FUN_0041c581 initializes radio buttons 0x425/0x426, disables diagram printing when the selected function has no diagram objects, updates mode field this + 0xc0, and opens PageSetupDlgA through FUN_0041a43b for control 0x424. After PrintDlgA, caller branches to textual equation printing or gate-diagram printing.","High"
"FUN_0040af1b","Print-cancel modeless dialog procedure trampoline for PRNCNCLDLG; it forwards dialog messages to the print controller and lets the user cancel an active print job.","FUN_0041ac36 and FUN_0041b260 create PRNCNCLDLG with CreateDialogParamA(..., FUN_0040af1b, 0) during printing, disable the main window, store the dialog handle at print-controller offset +4, set cancel flag +0xb4 to 0, then call SetAbortProc(..., FUN_0040af38). FUN_0040af1b calls FUN_0041c6a8(&DAT_00453ce8, hwnd, msg). FUN_0041c6a8 sets title ""Logic Friday"" on init and on command sets cancel flag +0xb4 to 1, re-enables owner, destroys the dialog, and clears the handle.","High"
"FUN_0040af38","Win32 printer abort procedure callback for Logic Friday print jobs; pumps the UI message queue during printing and tells GDI whether printing should continue, honoring the print-cancel dialog state.","Body is FUN_0041c712(0x453ce8), using global print/controller object DAT_00453ce8. Both print paths call SetAbortProc(HDC, FUN_0040af38) after creating PRNCNCLDLG and before StartDocA. FUN_0041c712 loops PeekMessageA, routes messages through IsDialogMessageA for the cancel dialog, calls TranslateMessage/DispatchMessageA, and returns cancelFlag == 0. The cancel dialog proc FUN_0040af1b -> FUN_0041c6a8 sets that flag to 1.","High"
"FUN_0040af4f","Dialog procedure wrapper for the NAMESORDERDLG choice dialog used when two functions have the same input variable names but in a different order; lets the caller distinguish cancel, operate by matching variable names, or use raw truth-table input ordering.","Body delegates to FUN_00416425. FUN_00416425 returns TRUE on WM_INITDIALOG, and on WM_COMMAND ends the dialog with result 2, 0x40b, or 0x40c. Call sites pass it to DialogBoxParamA(..., ""NAMESORDERDLG"", ...) after FUN_00416134 returns 1, meaning all input names exist in both functions but at different indexes. Dialog result 0x40b makes caller pass 1 to FUN_004161ea to remap the second function truth-table rows by matching names; result 0x40c keeps direct truth-table ordering; cancel aborts.","High"
"FUN_0040af6c","Dialog procedure wrapper for the compare-functions result dialog COMPRESDLG. It delegates to FUN_004164b1, which displays whether two selected one-output functions are equal, subsets, complements, or unequal, plus counts/labels for shared and function-only truth-table cases; command 0x40e closes with nonzero result so the caller can create/export the comparison result function.","Body delegates to FUN_004164b1(&DAT_00452c50, hwnd, msg, command). Caller FUN_00415dd9 is reached from menu command 0xbb after exactly two functions are selected; it validates same input count and one output, reconciles input ordering if needed, compares truth-table values, sets result fields, then opens DialogBoxParamA(..., ""COMPRESDLG"", ..., FUN_0040af6c, 0). Delegate writes strings such as ""%s equals %s."", ""%s is a subset of %s."", ""%s is the complement of %s."", ""%s is not equal to %s."", ""%s and %s:"", and ""%s only:"" to controls 0x410..0x417.","High"
"FUN_0040af89","Dialog procedure wrapper for the NEWFCNNAME dialog used during function operations to collect the name for a newly created result function. It delegates all behavior to FUN_00416ff2.","Only call site found is DialogBoxParamA(..., ""NEWFCNNAME"", ..., FUN_0040af89, local_20) inside FUN_00416a26 after two selected functions are validated for a function operation. FUN_00416ff2 handles WM_INITDIALOG by storing lParam in DAT_0046c510, limiting edit control 0x418 to 8 chars, initializing the buffer and setting edit text. On OK it reads GetDlgItemTextA(hwnd, 0x418, DAT_0046c510, 9) and EndDialog(..., 1); on cancel it EndDialog(..., 2). Caller copies local_20 into the new function record name field.","High"
"FUN_0040afa6","Win32 dialog procedure wrapper for LOOKUPFCNDLG, the Generate C Lookup Function options dialog. It delegates to FUN_004170c1, which lets the user choose lookup-table packing width and generated C function call style.","Body delegates to FUN_004170c1(&DAT_00452c50, hwnd, msg, wParam, lParam). Caller opens DialogBoxParamA(..., ""LOOKUPFCNDLG"", ..., FUN_0040afa6, 0x4519a4) from Generate C Lookup Function flow; before dialog _DAT_004519b0 is set to selected function input count, and after OK the option block DAT_004519a4 is passed to FUN_004133f5, which writes C lookup functions. FUN_004170c1 initializes radio groups 0x419..0x41c and 0x420..0x423, validates/customizes unsigned-int length 8..64, warns for non-byte-aligned custom lengths, updates the option block, and opens Creating_lookup.htm help.","High"
"FUN_0040afc3","`DiagInWindow` window procedure.","Registered under `""DiagInWindow""` by `FUN_0040145f`; used for diagram-entry interaction.","Medium"
"FUN_0040b004","`DiagOutWindow` window procedure.","Registered under `""DiagOutWindow""` by `FUN_0040145f`; receives application-defined command messages from the main dispatcher.","Medium"
"FUN_0040b055","Dialog procedure for the EQNMODVAR modal notice shown after modifying an equation when the input variable order may have changed; it only closes on OK/Cancel and opens help for variable ordering syntax.","Used only as DialogBoxParamA(..., ""EQNMODVAR"", ..., FUN_0040b055, 0). Body returns TRUE on WM_INITDIALOG, closes with EndDialog(..., 1) for OK and EndDialog(..., 2) for Cancel, and on control 0x490 opens %s\\lf.chm::/Syntax.htm#VarOrder via the HTML Help wrapper. Caller shows it when FUN_0040e7da(oldFunction, newFunction) indicates same variables in a different order and the new equation text does not contain INORDER.","High"
"FUN_0040b12d","Subclass window procedure for the RichEdit logic-equation entry control. It changes the cursor to wait during busy operations and intercepts equation-entry keyboard shortcuts: Enter submits, Ctrl+Enter inserts newline, Escape cancels, and Ctrl+V invokes custom paste; otherwise it forwards to the original RichEdit proc.","FUN_00439623 creates DAT_00452ab0 as a RichEdit-backed text control, then DAT_00452ab0 is subclassed with SetWindowLongA(..., 0x40b12d), saving old proc in DAT_00452918. FUN_0040b12d handles WM_SETCURSOR with wait cursor when busy flags are set. WM_KEYDOWN is handled only when DAT_00452e98 is active during equation entry. Enter posts command 0x8000 to parse/set equation, Escape sends command 0x150 cancel path, Ctrl+V posts command 0xae custom paste path, and unhandled messages call CallWindowProcA(DAT_00452918, ...).","High"
"FUN_0040b2da","Subclass window procedure for the main function-list ListView; while long-running operations are active it forces the wait cursor on WM_SETCURSOR, otherwise it forwards messages to the original ListView procedure.","During main-window initialization, FUN_0040e929 creates DAT_00452ac0 as a SysListView32 with columns such as Function, Inputs, Outputs, False, and Gates; SetWindowLongA(DAT_00452ac0, -4, 0x40b2da) installs this function and stores old proc in DAT_00452aa8. Function handles only WM_SETCURSOR: if busy flags DAT_00452e7c, DAT_00452eb0, DAT_00452eb4, DAT_00452ed0, or DAT_00452ed4 are set, it loads IDC_WAIT and returns 1; otherwise it calls CallWindowProcA(DAT_00452aa8, ...).","High"
"FUN_0040b34e","Subclass window procedure for the truth-table output SysListView32; while long-running operations are active it forces the wait cursor on WM_SETCURSOR, otherwise forwards messages to the original list-view window procedure.","Startup creates two SysListView32 controls via FUN_00417acd; the first handle is DAT_00452ab4, then subclassed with SetWindowLongA(DAT_00452ab4, GWL_WNDPROC, 0x40b34e), storing old proc in DAT_00452aa4. FUN_0040b34e handles WM_SETCURSOR when busy flags are set, calls LoadCursorA(NULL, 0x7f02) / SetCursor, returns 1, and otherwise calls CallWindowProcA(DAT_00452aa4, ...). Main-window notification handling identifies DAT_00452ab4 as truth-table output by loading context menu MENU_TTOUT when focused.","High"
"FUN_0040b3c2","Subclass window procedure for the truth-table entry ListView; intercepts Escape and routes it to the main window as the truth-table cancel command, otherwise delegates to the original ListView window procedure.","Startup FUN_00417acd creates two SysListView32 controls for truth-table UI, then SetWindowLongA(DAT_00452ab8, -4, 0x40b3c2) subclasses the second one and stores old proc in DAT_00452aa0. Body checks WM_KEYDOWN and VK_ESCAPE, sends WM_COMMAND 0xe6 to main window DAT_00452aac, and returns 1; all other messages call CallWindowProcA(DAT_00452aa0, ...). Main command handling treats 0xe6 as the cancel truth-table entry path; resources include truth-table menu items Cancel Esc and Submit Enter.","High"
"FUN_0040b41f","Subclass window procedure that forces the wait cursor over a specific child/control window while long-running Logic Friday operations are active; otherwise forwards messages to the original window procedure.","Installed with DAT_00452a9c = SetWindowLongA(DAT_00452a28, GWL_WNDPROC, 0x40b41f). Body handles only WM_SETCURSOR when busy flags DAT_00452e7c, DAT_00452eb0, DAT_00452eb4, DAT_00452ed0, or DAT_00452ed4 are set, loads IDC_WAIT, calls SetCursor, and returns 1. Otherwise delegates with CallWindowProcA(DAT_00452a9c, ...). Same wait-cursor subclass pattern appears in FUN_0040b12d, FUN_0040b2da, and FUN_0040b34e.","Medium"
"FUN_0040b493","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040b493; calling convention __cdecl; parameter count 1; return type undefined4.","Unmapped"
"FUN_0040b4ed","Allocate or find a free function slot.","Called before creating/opening new functions; negative return is treated as allocation failure.","Medium"
"FUN_0040b628","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040b628; calling convention __stdcall; parameter count 0; return type undefined4.","Unmapped"
"FUN_0040b784","Free/release a function slot.","Called after open/load failure and close/delete flows.","Medium"
"FUN_0040b86b","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040b86b; calling convention __thiscall; parameter count 2; return type void *.","Unmapped"
"FUN_0040b894","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040b894; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"FUN_0040b8f0","Resolve function object pointer to slot/index.","Used before saving, close prompts, and filename lookup in `DAT_004528a4`.","Medium"
"FUN_0040b947","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040b947; calling convention __stdcall; parameter count 4; return type undefined4.","Unmapped"
"FUN_0040ba7d","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040ba7d; calling convention __stdcall; parameter count 4; return type undefined4.","Unmapped"
"FUN_0040bd02","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040bd02; calling convention __stdcall; parameter count 3; return type undefined4.","Unmapped"
"FUN_0040bdc3","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040bdc3; calling convention __cdecl; parameter count 1; return type undefined.","Unmapped"
"FUN_0040bde7","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040bde7; calling convention __cdecl; parameter count 1; return type undefined.","Unmapped"
"FUN_0040be0b","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040be0b; calling convention __stdcall; parameter count 0; return type int.","Unmapped"
"FUN_0040be9e","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040be9e; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"FUN_0040bfb7","About dialog procedure.","Dialog resource `""ABOUTDLG""` uses this proc; handles hyperlink clicks through `FUN_004013e5`.","Medium"
"FUN_0040c130","Complete or refresh output after external minimization/mapping finishes.","Sets busy flag, updates output view via `FUN_0043983d`, changes status text, calls cleanup/status helpers.","Medium"
"FUN_0040c196","Run Espresso or MISII asynchronously with redirected output and cancellation support.","Builds `%s\\espresso\\espresso.exe` or `%s\\misii\\misii.exe`, creates `%s\\minout.dat`, starts process with inherited stdout/stderr, waits on both cancel event and process, posts completion message `0x8004`/`0x8006`.","High"
"FUN_0040c55b","Run Espresso or MISII synchronously, redirecting output to `minout.dat`.","Same executable selection as `FUN_0040c196`, calls `CreateProcessA`, waits up to 3,600,000 ms, sends `WM_COMMAND 0x8004`/`0x8006`.","High"
"FUN_0040c7c0","Run MISII synchronously for `checkout.dat` generation.","Uses `%s\\misii\\misii.exe`, redirects stdout/stderr to `%s\\checkout.dat`, sends `WM_COMMAND 0x8021`.","High"
"FUN_0040c9df","Check or uncheck a menu item.","Thin wrapper over `CheckMenuItem`.","High"
"FUN_0040ca01","Enable or disable a menu item.","Thin wrapper over `EnableMenuItem`.","High"
"FUN_0040ca22","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040ca22; calling convention __stdcall; parameter count 3; return type undefined4.","Unmapped"
"FUN_0040cabd","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040cabd; calling convention __stdcall; parameter count 4; return type undefined4.","Unmapped"
"FUN_0040cd0c","Create and populate the toolbar.","Creates `ToolbarWindow32`, assigns image lists, adds buttons via toolbar messages.","High"
"FUN_0040cf1c","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040cf1c; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_0040d2b9","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040d2b9; calling convention __cdecl; parameter count 2; return type undefined.","Unmapped"
"FUN_0040d301","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040d301; calling convention __cdecl; parameter count 1; return type char *.","Unmapped"
"FUN_0040d341","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040d341; calling convention __cdecl; parameter count 2; return type undefined4.","Unmapped"
"FUN_0040daaf","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040daaf; calling convention __cdecl; parameter count 1; return type undefined.","Unmapped"
"FUN_0040daf0","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040daf0; calling convention __cdecl; parameter count 1; return type undefined4.","Unmapped"
"FUN_0040dc71","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040dc71; calling convention __cdecl; parameter count 1; return type undefined4.","Unmapped"
"FUN_0040dd2e","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040dd2e; calling convention __cdecl; parameter count 1; return type undefined4.","Unmapped"
"FUN_0040e0b2","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040e0b2; calling convention __stdcall; parameter count 3; return type undefined4.","Unmapped"
"FUN_0040e14c","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040e14c; calling convention __stdcall; parameter count 3; return type undefined4.","Unmapped"
"FUN_0040e1e6","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040e1e6; calling convention __cdecl; parameter count 2; return type undefined4.","Unmapped"
"FUN_0040e3cf","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040e3cf; calling convention __stdcall; parameter count 3; return type undefined4.","Unmapped"
"FUN_0040e469","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040e469; calling convention __stdcall; parameter count 4; return type undefined4.","Unmapped"
"FUN_0040e68a","Prepare or validate a file operation caption/path context.","Called before `""File Open""` and other file workflows; exact UI side effect not fully mapped.","Low"
"FUN_0040e77d","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040e77d; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_0040e7da","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040e7da; calling convention __cdecl; parameter count 2; return type undefined4.","Unmapped"
"FUN_0040e905","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040e905; calling convention __fastcall; parameter count 1; return type int.","Unmapped"
"FUN_0040e929","Initialize paths, temp/work files, file dialogs, and verify bundled tools.","Uses `GetModuleFileNameA`, `SHGetSpecialFolderPathA`, `CreateDirectoryA`, sets `lf.ini`, `minin.dat`, `minout.dat`, `checkin.dat`, `checkout.dat`, `user.genlib`, checks `espresso.exe`, `misii.exe`, and `script.txt` with `SearchPathA`.","High"
"FUN_0040eb81","Add/register a function item in the list/controller.","Called after open/import/create; argument points to per-function slot data.","Medium"
"FUN_0040f186","Get current selected function from a list/controller.","Many command handlers call it and branch on zero, one, or multiple selected functions.","High"
"FUN_0040f234","Get two selected functions.","Used for two-function operations; returns count and output pointers.","Medium"
"FUN_0040f300","Select/focus a function by index in the list/controller.","Called before save/close and after creating/opening functions.","Medium"
"FUN_0040f38f","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040f38f; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_0040fa6b","Remove a function from the list/controller.","Used during close/delete flows before freeing the backing function.","Medium"
"FUN_0040fb46","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040fb46; calling convention __thiscall; parameter count 3; return type undefined4.","Unmapped"
"FUN_0040fbca","Return function count.","Used after closing functions to decide if any remain.","Medium"
"FUN_0040fbd9","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040fbd9; calling convention __fastcall; parameter count 1; return type bool.","Unmapped"
"FUN_0040fbf0","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040fbf0; calling convention __fastcall; parameter count 1; return type uint *.","Unmapped"
"FUN_0040fc88","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040fc88; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_0040fcac","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0040fcac; calling convention __thiscall; parameter count 3; return type bool.","Unmapped"
"FUN_004102f4","Show Open dialog for Logic function files.","Filter string `""Logic function (*.lfcn)""`, uses `GetOpenFileNameA`, stores selected open directory.","High"
"FUN_004103b5","Show Save dialog for Logic function files.","Filter string `""Logic function (*.lfcn)""`, uses `GetSaveFileNameA`, stores selected save directory.","High"
"FUN_00410476","Show Save dialog for C source export.","Filter string `""C Source File (*.c)""`, uses `GetSaveFileNameA`.","High"
"FUN_00410538","Show Save dialog for enhanced metafile export.","Filter string `""Enhanced Metafile (*.emf)""`, uses `GetSaveFileNameA`.","High"
"FUN_004105fb","Show Open dialog for arbitrary files.","Filter string `""All Files (*.*)""`, uses `GetOpenFileNameA`.","High"
"FUN_004106be","Show Save dialog for CSV truth-table export.","Filter string `""Comma Separated Variables (*.csv)""`, uses `GetSaveFileNameA`.","High"
"FUN_00410780","Export gate diagram image to `.emf` or `.bmp`.","For `.emf`, calls `CopyEnhMetaFileA`; otherwise renders the EMF to a 1-bit DIB and writes BMP headers/data via `_fwrite`.","High"
"FUN_00410a47","Export truth table to CSV/text.","Opens output as `wt`, writes input/output names and rows, emits `0`, `1`, and `X` values, supports both full truth table and reduced/lookup table representation.","High"
"FUN_004110a2","Import CSV/text truth table.","Opens input as `rt`, skips comments/blank lines, parses names and rows, validates input/output counts, allocates output arrays, fills truth table.","High"
"FUN_004116b2","Parse one truth-table data row into input and output token strings.","Splits on comma/tab, accepts only `0`, `1`, `X`/`x`, normalizes lowercase `x`.","High"
"FUN_00411871","Parse and validate CSV variable-name header row.","Splits input/output names, enforces length limits, validates characters through `FUN_0040daf0`, rejects duplicate input/output names.","High"
"FUN_00411caa","Apply one parsed truth-table row to the in-memory table, expanding input don't-cares.","Converts input bits to row index; if input contains `X`, enumerates all matching rows; delegates cell assignment to `FUN_00411dfc`.","High"
"FUN_00411dfc","Assign output values for one truth-table row and detect conflicts.","Writes `1`, `0`, or `2` (`X`) into output arrays; increments true/don't-care counts; returns conflict code `10` if row already has different value.","High"
"FUN_00411f69","Show import error dialogs.","Maps import error codes 1-10 to `""Import Error""` message boxes.","High"
"FUN_00412219","Save a Logic Friday `.lfcn` function file.","Opens output as `wb`, writes `""LTK1""`-style header/version data, fixed 0x2700-byte function state, truth-table arrays, text fields, mapping/gate data, optional EMF bits, then marks function clean.","High"
